record_id,cell_key,run_id,phase,language,stimulus_id,cz_agency,baseline_stimulus_id,model_requested,model_group,replicate,translation_note,EN-AG,EN-OB,EN-AF,EN-PR,EN-E,EN-A,EN-V,CZ-AG,CZ-OB,CZ-AF,CZ-PR,JP-V,JP-A,JP-E,JP-H,JP-S,response_char_len,response_word_count,code_var_a,code_var_b,code_var_c,code_var_d,code_var_e,code_var_f,code_var_g,code_var_r,coder_id,coded_at,authority_blame_score,relative_blame_score,agent_recovery,legalism_score,dignity_score,compromise_type,passive_echo,notes
5f01d814-553c-468f-9627-5180f29a9d92,CN1|openai/gpt-4o|1,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,openai/gpt-4o,current_multilingual,1,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1340,197,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,mid,negotiation,no,no-question control; rule-based (corrected rules); verify
76fdd9d0-f394-4d24-a950-e7fb35930720,CN1|openai/gpt-4o|2,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,openai/gpt-4o,current_multilingual,2,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1357,204,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,mid,negotiation,no,no-question control; rule-based (corrected rules); verify
84cf03d8-e919-4e4f-811f-0b3ea31f578d,CN1|openai/gpt-4o|3,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,openai/gpt-4o,current_multilingual,3,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1358,198,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,mid,negotiation,no,no-question control; rule-based (corrected rules); verify
2b1c6e5b-fd8c-4795-ae57-e186af561434,CN1|openai/gpt-4o|4,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,openai/gpt-4o,current_multilingual,4,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1502,224,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,no,mid,mid,negotiation,no,no-question control; rule-based (corrected rules); verify
1900638d-bd66-4930-b6b1-bf69821940ea,CN1|openai/gpt-4o|5,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,openai/gpt-4o,current_multilingual,5,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1271,195,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,no,mid,mid,negotiation,no,no-question control; rule-based (corrected rules); verify
37222a70-3d67-4edb-9513-99c46dfbaca9,CN1|anthropic/claude-sonnet-4|1,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,anthropic/claude-sonnet-4,current_multilingual,1,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1064,150,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,high,negotiation,no,no-question control; rule-based (corrected rules); verify
168169d8-d3ba-4c16-a093-5f2671c6bdcc,CN1|anthropic/claude-sonnet-4|2,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,anthropic/claude-sonnet-4,current_multilingual,2,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1100,158,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,high,negotiation,no,no-question control; rule-based (corrected rules); verify
e4be6e4d-1c85-413b-a2ed-9fe0e6d19ec1,CN1|anthropic/claude-sonnet-4|3,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,anthropic/claude-sonnet-4,current_multilingual,3,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1026,148,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,high,negotiation,no,no-question control; rule-based (corrected rules); verify
780abed8-3f61-4675-a0eb-fcb94fa89f82,CN1|anthropic/claude-sonnet-4|4,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,anthropic/claude-sonnet-4,current_multilingual,4,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1066,151,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,high,negotiation,no,no-question control; rule-based (corrected rules); verify
5af613f3-eff9-4656-8b8e-23160ea250cb,CN1|anthropic/claude-sonnet-4|5,20260529T125836Z_6570a5fc,3,cs,CN1,agentive,CN1,anthropic/claude-sonnet-4,current_multilingual,5,NOQ control; S2 agentive (urady odmitly vydat),,,,,,,,,,,,,,,,,1036,153,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,,,yes,mid,high,negotiation,no,no-question control; rule-based (corrected rules); verify
