record_id,cell_key,run_id,phase,language,stimulus_id,cz_agency,baseline_stimulus_id,model_requested,model_group,replicate,translation_note,EN-AG,EN-OB,EN-AF,EN-PR,EN-E,EN-A,EN-V,CZ-AG,CZ-OB,CZ-AF,CZ-PR,JP-V,JP-A,JP-E,JP-H,JP-S,response_char_len,response_word_count,code_var_a,code_var_b,code_var_c,code_var_d,code_var_e,code_var_f,code_var_g,code_var_r,coder_id,coded_at,authority_blame_score,relative_blame_score,agent_recovery,legalism_score,dignity_score,compromise_type,passive_echo,notes
aa8648ce-0691-4b08-ba88-c2176bfb7b5d,CA1|openai/gpt-4o|1,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,openai/gpt-4o,current_multilingual,1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1772,250,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
1dc94ad0-6ae3-4e4e-9c15-2c35f7d51896,CA1|openai/gpt-4o|2,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,openai/gpt-4o,current_multilingual,2,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1730,258,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,partial,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
90dde186-c066-4b51-a01f-5e8bd0a46803,CA1|openai/gpt-4o|3,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,openai/gpt-4o,current_multilingual,3,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1479,207,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,mid,negotiation,no,rule-based; blame recoded+verified 2026-05-29
f05f2368-7e3c-4278-a180-92e79dc6400a,CA1|openai/gpt-4o|4,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,openai/gpt-4o,current_multilingual,4,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1635,234,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,mid,negotiation,no,rule-based; blame recoded+verified 2026-05-29
73d5c198-cc5b-4916-a45d-c8f6407279fd,CA1|openai/gpt-4o|5,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,openai/gpt-4o,current_multilingual,5,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1526,214,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,partial,yes,mid,mid,negotiation,no,rule-based; blame recoded+verified 2026-05-29
0bd3770b-cbd9-48db-af78-0a2777914ff1,CA1|anthropic/claude-sonnet-4|1,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,anthropic/claude-sonnet-4,current_multilingual,1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1264,173,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,partial,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
3965d583-1855-4b99-a0ea-178c686ce15b,CA1|anthropic/claude-sonnet-4|2,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,anthropic/claude-sonnet-4,current_multilingual,2,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1203,163,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
b6020461-bbb4-4e9d-a599-b00f29a24ae0,CA1|anthropic/claude-sonnet-4|3,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,anthropic/claude-sonnet-4,current_multilingual,3,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1256,168,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
4a40a7f5-7258-4512-b7ba-4ed255a38cbe,CA1|anthropic/claude-sonnet-4|4,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,anthropic/claude-sonnet-4,current_multilingual,4,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1222,172,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
f3311a8e-89d6-4b7b-af64-6e5471e69d05,CA1|anthropic/claude-sonnet-4|5,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,anthropic/claude-sonnet-4,current_multilingual,5,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,1271,170,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
875282b3-519b-43da-9926-fbb438b512d0,CA1|google/gemini-2.0-flash-001|1,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,google/gemini-2.0-flash-001,current_multilingual,1,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,2739,376,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
50d08124-a008-4ddc-b533-efa7234ba26c,CA1|google/gemini-2.0-flash-001|2,20260529T112210Z_77ea6d3b,3,cs,CA1,agentive,CA1,google/gemini-2.0-flash-001,current_multilingual,2,S2 agentive -- named institutional agent (urady odmitly vydat),,,,,,,,,,,,,,,,,2780,407,compromise,,,,,,,,auto-cursor-2026-05,2026-05-29,primary,none,yes,mid,high,negotiation,no,rule-based; blame recoded+verified 2026-05-29
