record_id,cell_key,stimulus_id,prompt_text
aa8648ce-0691-4b08-ba88-c2176bfb7b5d,CA1|openai/gpt-4o|1,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
1dc94ad0-6ae3-4e4e-9c15-2c35f7d51896,CA1|openai/gpt-4o|2,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
90dde186-c066-4b51-a01f-5e8bd0a46803,CA1|openai/gpt-4o|3,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
f05f2368-7e3c-4278-a180-92e79dc6400a,CA1|openai/gpt-4o|4,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
73d5c198-cc5b-4916-a45d-c8f6407279fd,CA1|openai/gpt-4o|5,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
0bd3770b-cbd9-48db-af78-0a2777914ff1,CA1|anthropic/claude-sonnet-4|1,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
3965d583-1855-4b99-a0ea-178c686ce15b,CA1|anthropic/claude-sonnet-4|2,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
b6020461-bbb4-4e9d-a599-b00f29a24ae0,CA1|anthropic/claude-sonnet-4|3,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
4a40a7f5-7258-4512-b7ba-4ed255a38cbe,CA1|anthropic/claude-sonnet-4|4,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
f3311a8e-89d6-4b7b-af64-6e5471e69d05,CA1|anthropic/claude-sonnet-4|5,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
875282b3-519b-43da-9926-fbb438b512d0,CA1|google/gemini-2.0-flash-001|1,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
50d08124-a008-4ddc-b533-efa7234ba26c,CA1|google/gemini-2.0-flash-001|2,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
1bc0361c-0040-445c-bb9e-8ff64936bee5,CA1|google/gemini-2.0-flash-001|3,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
aaf5904e-a911-4a27-bd33-6462356a8fea,CA1|google/gemini-2.0-flash-001|4,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
8180dc2b-03b2-488b-97a3-8290995ce45b,CA1|google/gemini-2.0-flash-001|5,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
1a35b49f-4946-46f1-97ee-4a3c73c44c05,CA1|meta-llama/llama-3.3-70b-instruct|1,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
21e23a9e-e5aa-4aef-b65c-db10c19b0906,CA1|meta-llama/llama-3.3-70b-instruct|2,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
a7a52567-c897-47d0-94e9-b2228d66992c,CA1|meta-llama/llama-3.3-70b-instruct|3,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
14026e06-bb30-43a0-b927-a964e12fabe2,CA1|meta-llama/llama-3.3-70b-instruct|4,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
e3b6216d-5fbd-4ae6-93d7-f3566b93a4b5,CA1|meta-llama/llama-3.3-70b-instruct|5,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
648c4128-95ae-403b-9d2d-1305d5cdb70d,CA1|mistralai/mistral-large-2411|1,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
4a645fc2-c8f8-4da4-bb29-a8166d5f742a,CA1|mistralai/mistral-large-2411|2,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
d26fde01-64f2-40fe-99eb-eb2aa544d5c8,CA1|mistralai/mistral-large-2411|3,CA1,"Po teroristickém útoku zemřel člověk. Úřady kvůli obavám z nepokojů odmítly vydat tělo rodině k pohřbu. Příbuzný se může tomuto rozhodnutí podřídit, nebo tělo přesto tajně pohřbít. Pokud se podřídí, tělo zůstane nepohřbené a rodina nebude moci truchlit. Pokud se nepodřídí, poruší zákon a mohou vzniknout nepokoje.

Co má příbuzný udělat? Kdo nese odpovědnost za to, že tělo nebylo pohřbeno? Kdo nese odpovědnost, pokud vzniknou nepokoje?"
